title,rating,sold,price,price_display
"Ergonomic Office Chair, 330LBS Desk Chair with 3-Level Lumbar Support & Headrest, Breathable Mesh Backrest, Flip-Up Armrests for Home Office and Gaming, Black",4.4,,,
"Gaming Chair, 400 lbs Adult Chair, High Back Computer Chair with Footrest and Linked Armrests, Office Video Game Chair with Lumbar Support (Grey)",3.9,500+ bought in past month,,
"Gaming Chair with Footrest, Ergonomic Computer Chair, PU Breathable Material with Headrest and Lumbar Support, Suitable for Silla Gamer and Adults（Grey",4.2,100+ bought in past month,,
"Gaming Chair with Linkage Armrest & Footrest, High Back Video Gaming Chair, Black/Blue",4.2,,,
"GTPLAYER Gaming Chair,Office Chair with Pocket Spring Lumbar Support, Ergonomic Comfortable Wide Office Desk Computer Chair with Outward Fixed Soft Armrests and Footrest (PU Leather, Black)",4.4,500+ bought in past month,,
"BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men,White",4.4,100+ bought in past month,,
"BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men,Blue",4.4,100+ bought in past month,,
"White Gaming Chair,Ergonomic Massage Computer Office Desk Chair with Footrest,Pocket Spring Cushion,Reclining Leather Adjustable Gamer Chair with Headrest and Lumbar Support,White",4.1,200+ bought in past month,,
Corsair TC100 Relaxed Gaming Chair - Fabric - Racing-Inspired Design - Lumbar Pillow - Detachable Memory Foam Neck Pillow - Adjustable Seat Height - Adjustable Armrests - Gray and Black,4.0,200+ bought in past month,,
"Gaming Chair,Ergonomic Computer Gaming Chair,400lb Load-Bearing,Retractable Footrest/Waist Support/Ergonomic Backrest[Spring + 4D Sponge] (Grey)",4.0,50+ bought in past month,,
"Gaming Chair, High Back Fabric Computer Chair with Pocketed Spring Cushion and Footrest, Height Adjustable Game Chair with Headrest and Lumbar Support (Beige & Green)",4.5,,,
"Ergonomic Mesh Office & Gaming Chair with Footrest, High Back Home Office Desk Chair, Comfortable Lumbar Support, 130° Tilt, Adjustable 3D Armrest & 2D Headrest (Grey)",3.8,,,
"Mesh Ergonomic Office Chair with Footrest,High Back Mesh Gaming Chair with Lumbar Support,Adjustable Headrest and Armrests for Home Office Desk Chair (Modern, Grey)",4.3,Top Reviewed for Comfort,,
"White Gaming Chair,Ergonomic Massage Computer Office Desk Chair with Footrest,Pocket Spring Cushion,Reclining Leather Adjustable Gamer Chair with Headrest and Lumbar Support,White",4.1,200+ bought in past month,,
"Gaming Chair, 400 lbs Adult Chair, High Back Computer Chair with Footrest and Linked Armrests, Office Video Game Chair with Lumbar Support (Grey)",3.9,500+ bought in past month,,
"TRALT Office Chair Ergonomic Desk Chair, 330 LBS Home Mesh Office Desk Chairs with Wheels, Comfortable Gaming Chair, High Back Office Chair for Long Hours (Black)",4.3,Top Reviewed for Comfort,,
Corsair TC100 Relaxed Gaming Chair - Leatherette - Racing-Inspired Design - Lumbar Pillow - Detachable Memory Foam Neck Pillow - Adjustable Seat Height - Adjustable Armrests - Black,4.0,200+ bought in past month,,
"Desk Computer Gaming Chair - High Back Ergonomic Office Chair with Footrest and Lumbar Support, Swivel Comfy Home Gamer Video Game Chairs with Pocket Spring Cushion for Adults (White)",4.5,New on Amazon in past month,,
"Big and Tall Office Chair - Criss Cross Leather High Back Executive Office Chair with Armrests & Wheels, Ergonomic Computer Gaming Desk Chair for Home, Makeup Vanity & Bedroom, Brown, 49.6”H×22”W",4.8,New on Amazon in past month,,
"Gaming Chair,Computer Chair with Pocket Spring Cushion,Ergonomic Office Chair with Footrest,Height Adjustable Video Gamer Chair with Lumbar Support for Adults (No Massage, Pink)",4.0,50+ bought in past month,,
"Office Chair Ergonomic Desk Chair, 330LBS Capacity, High Back Computer Chair for Long Hours Comfortable, Rolling Swivel Executive Task Chair for Home Office with Flip-up Armrests, Black",4.2,Top Reviewed for Comfort,,
Office Chair Ergonomic Desk Chair Comfy: 330LBS Mesh Computer Chair Ergonomic Gaming Chairs with Wheels Adjustable Lumbar Support and Flip up Armrest-Swivel Executive Chairs Long Hours(White Gray),4.4,Top Reviewed for Comfort,,
Marsail Ergonomic Office Chair: Office Desk Chair with High Back Mesh and Adjustable Lumbar Support Rolling Work Swivel Task Chairs with Wheel 3D Armrests and Headrest,4.2,4K+ bought in past month,,
"Gaming Chair - High Back Ergonomic Computer Chair with Lumbar Support, Video Game Chair-4D Adjustable Armrests,170° Reclining & 320lb Capacity,Fabric,Black",5.0,,,
"Ergonomic Office Chair with Footrest - Adjustable Lumbar Support & Headrest, 90-160° Reclining Mesh Back Computer Chair - Home Office/Gaming, 350lbs Capacity (SGS Certified)",4.6,Top Reviewed for Comfort,,
"Gaming Chair with Linkage Armrest & Footrest, High Back Video Gaming Chair, Black/White",4.2,,,
"Breathable Fabric Gaming Chair with Footrest, Height Adjustable Game Chair, Video Gaming Chair for Gaming Room, Living Room and Office - Black/White",3.8,,,
"Gaming Chair, High Back Fabric Computer Chair with Pocketed Spring Cushion and Footrest, Height Adjustable Game Chair with Headrest and Lumbar Support (Beige & Green)",4.5,,,
"AA Products Gaming Chair Ergonomic High Back Computer Racing Chair Adjustable Office Chair with Footrest, Lumbar Support Swivel Chair - Upgraded Version BlackGrey",4.2,,,
"Sweetcrispy Computer Gaming Desk Chair - Ergonomic PU Leather with Comfy Lumbar Support, Height Adjustable Rolling Desk with Flip-up Armrests, for Home and Office",4.5,Top Reviewed for Comfort,,
HOFFREE RGB Gaming Chair with Speakers and Massage Ergonomic Computer Chair with Lights and Footrest Reclining Video Game Chairs for Adults Red and Black,4.2,,,
"Gaming Chair 4D Adjustable Armrests - 155° Reclining & 320lb Capacity, High Back Ergonomic Computer Chair with Lumbar Support, Fabric Office Chair for Adults (Textile, Black)",3.7,,,
"X Rocker Video Gaming Floor Rocker Chair, Built-in Audio, Foldable, for Gamers, Bedroom, or Game Room for Boys, Girls, Teens 5-17, Gifts for Gamers",4.3,Top Reviewed for Comfort,,
"COMHOMA Big and Tall Gaming Chair with Pocket Spring Lumbar Support, Ergonomic Office Chair with Footrest, Executive Desk Chair with Outward Fixed Soft Armrests, Computer Chair with High Back, Green",4.3,200+ bought in past month,,
"FelixKing Big and Tall Office Chair 500lbs - Ergonomic Desk Chair with Footrest, Scratch-Resistant PU Leather Computer Chair, 4D Lumbar Support Gaming Chair, Comfy Reclining Swivel Work Chair, Black",4.6,New on Amazon in past month,,
"BestOffice Gaming Chair Office Chair Ergonomic Desk Chair Racing Style Gaming Chair with Lumbar Support, Swivel Rolling Base, and Comfortable Padded Seat for Women and Men",4.4,,,
"Sweetcrispy Office Computer Desk Chair, Ergonomic High-Back Mesh Rolling Work Chairs with Wheels and Adjustable Headrests, Comfortable Lumbar Support, Comfy Flip-up Arms for Home, Bedroom, Study,Black",4.3,Top Reviewed for Comfort,,
"TRALT Ergonomic Office Chair - Desk Chair with Adjustable Headrest Lumbar Support Computer Chair - Mesh Comfy Chair with Flip-up Armrests - Gaming Chairs for Adults Home Office (Leather, Black)",4.6,Top Reviewed for Comfort,,
"ASUS ROG Chariot RGB Gaming Chair (Memory Foam Lumbar Support, 4D Adjustable Armrest, Reclining Backrest, Breathable Leatherette Material, Durable PU Casters, Integrated Aura RGB Lighting)",4.2,,,
"Office Chair Ergonomic Desk Chair, 330LBS Capacity, High Back Computer Chair for Long Hours Comfortable, Rolling Swivel Executive Task Chair for Home Office with Flip-up Armrests, Black",4.2,Top Reviewed for Comfort,,
